ed1,ed2,ed3,target
-3.6838675,8.082964,7.0730715,1
-2.8276682,7.0390544,5.822126,1
-2.0851095,5.9027295,4.575745,1
-1.8152996,5.4802146,4.070523,1
-1.7383255,5.4347157,3.924374,1
-1.8775365,5.8895664,4.208904,1
-2.1594658,6.5304947,4.773155,1
-2.4574897,6.789063,5.272392,1
-2.618173,6.760517,5.5464478,1
-2.7181418,6.8852205,5.71624,1
-2.767931,7.122921,5.8092422,1
-2.7240775,7.3388658,5.746175,1
-2.5061994,7.286454,5.414106,1
-2.143676,6.764624,4.8373084,1
-1.9306947,6.3378415,4.43265,1
-1.8790606,6.2909384,4.346654,1
-1.941601,6.532319,4.4963446,1
-2.0608544,6.8555574,4.758331,1
-2.220579,7.103374,5.0311203,1
-2.319139,7.1379237,5.183365,1
-2.351751,7.109617,5.23453,1
-2.3557682,7.1857443,5.2557654,1
-2.325077,7.29839,5.2336774,1
-2.222065,7.288924,5.105664,1
-2.0525634,7.077741,4.852871,1
-1.8845959,6.7783117,4.5722694,1
-1.8009875,6.622852,4.4276767,1
-1.8078451,6.7025776,4.477369,1
-1.8578625,6.8688564,4.6039896,1
-1.92975,7.0025773,4.7327347,1
-1.9613388,6.996722,4.788914,1
-1.9551785,6.9170456,4.7807007,1
-1.9215026,6.860516,4.7373385,1
-1.8650268,6.855365,4.6763787,1
-1.7813656,6.8262496,4.578344,1
-1.6597672,6.6723104,4.4063168,1
-1.5314789,6.457962,4.2150955,1
-1.4452826,6.3010826,4.0814404,1
-1.4101256,6.2613225,4.0446234,1
-1.4215015,6.318315,4.090352,1
-1.4530349,6.3840275,4.1544433,1
-1.4701136,6.3860817,4.1861663,1
-1.4604645,6.326562,4.172633,1
-1.4246624,6.2470546,4.125576,1
-1.3667659,6.172545,4.055609,1
-1.2906704,6.0941477,3.9653316,1
-1.201157,5.9828568,3.8577697,1
-1.1161457,5.846637,3.7446895,1
-1.0608737,5.7350535,3.6613085,1
-1.0329139,5.675654,3.6199436,1
-1.0299124,5.672953,3.6243637,1
-1.041107,5.6944847,3.6515658,1
-1.0528239,5.699414,3.6703358,1
-1.0520837,5.668236,3.6632807,1
-1.0379499,5.6175327,3.6348011,1
-1.0138844,5.572601,3.5959177,1
-0.9807744,5.5277214,3.5477207,1
-0.94206846,5.474055,3.490292,1
-0.904343,5.4093175,3.4309394,1
-0.8736059,5.3451552,3.379246,1
-0.85524815,5.3013287,3.3488846,1
-0.8504108,5.2868996,3.3449473,1
-0.85489714,5.2915497,3.3588245,1
-0.86068994,5.2945905,3.374675,1
-0.86361164,5.2839513,3.3829553,1
-0.85729414,5.2559094,3.3743477,1
-0.8447759,5.22334,3.358378,1
-0.82982355,5.1936398,3.3424225,1
-0.8125831,5.163086,3.323536,1
-0.7961333,5.1271462,3.3019166,1
-0.78355545,5.0873637,3.2809026,1
-0.7770197,5.056487,3.2712123,1
-0.7789147,5.044006,3.2796786,1
-0.78756374,5.0474243,3.303707,1
-0.79813635,5.0543823,3.3334398,1
-0.8072734,5.049955,3.358662,1
-0.81329477,5.03046,3.376269,1
-0.8149347,5.0053096,3.385861,1
-0.8143492,4.9806294,3.3927772,1
-0.81317025,4.95666,3.399428,1
-0.812983,4.930021,3.4064653,1
-0.8132308,4.90085,3.413572,1
-0.81641394,4.8740187,3.426119,1
-0.8247286,4.85552,3.4493036,1
-0.8391418,4.8468914,3.4846451,1
-0.8568602,4.8428164,3.5262792,1
-0.8737149,4.8359003,3.5658813,1
-0.88766074,4.8226304,3.5992138,1
-0.8988785,4.8049207,3.627089,1
-0.9086772,4.78664,3.6526499,1
-0.91891694,4.7699056,3.6787558,1
-0.9292383,4.753298,3.705018,1
-0.93994004,4.735685,3.7316482,1
-0.95208037,4.7179165,3.7607472,1
-0.96708345,4.703444,3.795459,1
-0.98489934,4.6946173,3.8365297,1
-1.003317,4.689689,3.8809068,1
-1.0219024,4.6845827,3.9255762,1
-1.0391254,4.6763563,3.9673414,1
-1.054621,4.6650333,4.0056796,1
-1.0690441,4.6527576,4.042251,1
-1.083192,4.641216,4.078745,1
-1.0982372,4.630975,4.116427,1
-1.1139565,4.6209054,4.154985,1
-1.1307261,4.611152,4.1950755,1
-1.1492133,4.60321,4.2381287,1
-1.16983,4.598533,4.2852182,1
-1.1921465,4.5968056,4.3356586,1
-1.2150732,4.596029,4.3872848,1
-1.2374759,4.594052,4.437811,1
-1.2589054,4.5902677,4.48642,1
-1.2796108,4.5856094,4.533763,1
-1.3019878,4.5826864,4.5797486,1
-1.3285648,4.585572,4.62389,1
-1.3561059,4.5926175,4.6696057,1
-1.3843263,4.6008725,4.716805,1
-1.4134681,4.610095,4.7657495,1
-1.4437757,4.6211925,4.8170776,1
-1.475179,4.634418,4.870752,1
-1.5071512,4.64884,4.9256997,1
-1.5398712,4.6602583,4.975879,1
-1.5723164,4.6700006,5.0238795,1
-1.6043191,4.6791854,5.0711527,1
-1.6363423,4.688573,5.118339,1
-1.6689132,4.698632,5.166013,1
-1.7018522,4.7094316,5.214445,1
-1.7362764,4.721809,5.264536,1
-1.7731364,4.7367363,5.317153,1
-1.8107886,4.7527285,5.3711224,1
-1.8491893,4.77003,5.4264836,1
-1.889078,4.787176,5.4832525,1
-1.9296215,4.803925,5.540505,1
-1.9699278,4.8204,5.59743,1
-2.0099158,4.836574,5.653927,1
-2.0497556,4.8528905,5.7103486,1
-2.0898771,4.8702393,5.767254,1
-2.1333637,4.8955283,5.826922,1
-2.1771183,4.921177,5.8871584,1
-2.2212062,4.947132,5.9480243,1
-2.2656734,4.9735518,6.009624,1
-2.31353,5.0012765,6.073888,1
-2.380827,5.0195622,6.1565104,1
-2.4535475,5.034828,6.24479,1
-2.528547,5.052842,6.336302,1
-2.6079135,5.0746307,6.433577,1
-2.6870368,5.0963697,6.5306363,1
-2.7661405,5.118363,6.6278286,1
-2.8480937,5.1425695,6.7283735,1
-2.9314055,5.1678505,6.830608,1
-3.0150664,5.1934066,6.933392,1
-3.0991104,5.2192755,7.0367694,1
-3.183509,5.245568,7.140747,1
-3.268163,5.2723227,7.245227,1
-3.3528602,5.299378,7.349918,1
-3.4373865,5.3264985,7.454503,1
-3.521596,5.353529,7.5587716,1
-3.6055012,5.3805304,7.662756,1
-3.6892014,5.407665,7.7666216,1
-3.7728302,5.4350696,7.870557,1
-3.85645,5.4627438,7.9746375,1
-3.938223,5.4933987,8.077859,1
-4.0150895,5.5216575,8.177999,1
-4.0904884,5.5463133,8.277149,1
-4.1657887,5.5711393,8.376354,1
-4.240891,5.5960956,8.47548,1
-4.3156533,5.6210394,8.574327,1
-4.38983,5.6453023,8.67312,1
-4.4630094,5.667485,8.772729,1
-4.534481,5.6905437,8.870549,1
-4.605193,5.7139163,8.967656,1
-4.675601,5.7373357,9.064566,1
-4.7457213,5.7607484,9.161289,1
-4.816297,5.7911997,9.259702,1
-4.886715,5.8230724,9.358276,1
-4.9567943,5.855043,9.456611,1
-5.026465,5.8871064,9.554613,1
-5.1012125,5.930685,9.659094,1
-5.1807685,5.9862113,9.767096,1
-5.2620106,6.044128,9.875143,1
-5.3427057,6.1020937,9.982613,1
-5.4238296,6.1595893,10.088642,1
-5.506131,6.217317,10.193742,1
-5.5879436,6.2751427,10.298364,1
-5.671225,6.3278694,10.403509,1
-5.757829,6.370616,10.510128,1
-5.8438683,6.413413,10.616171,1
-5.929294,6.4562716,10.721582,1
-6.014048,6.4991527,10.826289,1
-6.09808,6.542001,10.930214,1
-6.181352,6.58477,11.033305,1
-6.2638535,6.6274614,11.1355505,1
-6.3455906,6.6701064,11.236969,1
-6.426575,6.71273,11.337581,1
-6.506808,6.7553267,11.43739,1
-6.586276,6.797867,11.536375,1
-6.664959,6.8403306,11.634512,1
-6.7428284,6.882713,11.731766,1
-6.819851,6.9250135,11.828092,1
-6.8955293,6.967967,11.923404,1
-6.9677315,7.01493,12.017453,1
-7.039019,7.0616713,12.110437,1
-7.109376,7.108172,12.202335,1
-7.1787996,7.154446,12.293149,1
-7.24729,7.2005024,12.382886,1
-7.3148446,7.246342,12.471541,1
-7.3814554,7.2919407,12.559094,1
-7.447102,7.337281,12.645532,1
-7.5117674,7.3823514,12.730815,1
-7.5754213,7.4271445,12.814923,1
-7.6380424,7.471652,12.897813,1
-7.6995397,7.5159054,12.979519,1
-7.7575817,7.5618477,13.062198,1
-7.8174815,7.610314,13.143846,1
-7.879309,7.6611423,13.225003,1
-7.9318047,7.6983037,13.288451,1
-7.9765735,7.7243953,13.337375,1
-8.019892,7.7493834,13.384953,1
-8.060414,7.770243,13.431386,1
-8.09977,7.790666,13.476392,1
-8.136053,7.8058615,13.519722,1
-8.173836,7.826414,13.563696,1
-8.210962,7.847737,13.606579,1
-8.246926,7.868742,13.648008,1
-8.281721,7.8894234,13.687976,1
-8.315339,7.909775,13.726475,1
-8.346168,7.9288216,13.761259,1
-8.366534,7.9419017,13.781625,1
-8.38573,7.954659,13.8005295,1
-8.396961,7.9629865,13.811736,1
-8.405873,7.9702888,13.820424,1
-8.413612,7.9772673,13.827651,1
-8.42017,7.983918,13.833407,1
-8.425546,7.990239,13.83769,1
-8.428946,7.9949784,13.839377,1
-8.429302,7.9964457,13.836948,1
-8.428477,7.997578,13.833046,1
-8.426466,7.9983797,13.82767,1
-8.423273,7.9988556,13.820832,1
-8.418904,7.9990025,13.812533,1
-8.413363,7.998823,13.802777,1
-8.406644,7.998317,13.791571,1
-8.398752,7.9974804,13.778905,1
-8.389686,7.996312,13.764789,1
-8.379443,7.994817,13.749212,1
-8.368028,7.9929924,13.732192,1
-8.355443,7.990837,13.713723,1
-8.341689,7.9883513,13.693809,1
-8.326772,7.9855375,13.672459,1
-8.316073,7.9840894,13.647584,1
-8.306037,7.9828916,13.620584,1
-8.294913,7.9813857,13.592147,1
-8.282703,7.979577,13.562273,1
-8.269415,7.9774623,13.530979,1
-8.254845,7.975252,13.498289,1
-8.235972,7.974765,13.464573,1
-8.214012,7.9701657,13.429788,1
-8.191401,7.9648547,13.393668,1
-8.167751,7.9592357,13.356155,1
-8.143078,7.9533086,13.317257,1
-8.117381,7.947077,13.276981,1
-8.090674,7.9405427,13.235344,1
-8.06296,7.933707,13.192352,1
-8.035607,7.92711,13.148137,1
-8.007406,7.9202695,13.102603,1
-7.9782434,7.913145,13.055749,1
-7.9481344,7.905738,13.007587,1
-7.917085,7.898049,12.958128,1
-7.885097,7.8900814,12.907381,1
-7.8521852,7.8818336,12.855364,1
-7.818352,7.8733115,12.802084,1
-7.7836094,7.864515,12.7475605,1
-7.747967,7.8554482,12.691803,1
-7.7114296,7.8461137,12.63483,1
-7.674011,7.8365107,12.576653,1
-7.6357207,7.8266463,12.517282,1
-7.5965633,7.8165193,12.456737,1
-7.5565515,7.8061333,12.395033,1
-7.5156918,7.7954893,12.33218,1
-7.4739957,7.784592,12.268196,1
-7.431474,7.773444,12.203095,1
-7.3885245,7.764191,12.135845,1
-7.3448057,7.7548785,12.067414,1
-7.3002844,7.745283,11.997943,1
-7.2549744,7.735405,11.927441,1
-7.2088833,7.7252436,11.855928,1
-7.162027,7.714808,11.783422,1
-7.1144137,7.704094,11.709947,1
-7.0660563,7.6931086,11.635509,1
-7.016966,7.68185,11.56013,1
-6.9671526,7.6703267,11.483835,1
-6.916632,7.658538,11.406635,1
-6.8654156,7.646486,11.328553,1
-6.813514,7.634176,11.249606,1
-6.760313,7.623222,11.170124,1
-6.706211,7.612636,11.089936,1
-6.6514764,7.6017785,11.008944,1
-6.5961194,7.5906487,10.9271555,1
-6.541416,7.580784,10.84599,1
-6.4866476,7.571287,10.764652,1
-6.431317,7.561551,10.68261,1
-6.3749123,7.5530224,10.59943,1
-6.3155227,7.551314,10.513406,1
-6.2557406,7.549277,10.426778,1
-6.1954336,7.547034,10.339516,1
-6.134615,7.5445867,10.25164,1
-6.073301,7.541935,10.163175,1
-6.0115075,7.5390797,10.07414,1
-5.9492464,7.536024,9.984558,1
-5.8865366,7.5327654,9.894453,1
-5.8233905,7.5293045,9.803844,1
-5.759826,7.525643,9.712753,1
-5.695859,7.5217834,9.621206,1
-5.6315017,7.5177245,9.529221,1
-5.5667744,7.513468,9.436824,1
-5.4988027,7.5136976,9.343765,1
-5.424811,7.517243,9.2463255,1
-5.349925,7.5209613,9.148148,1
-5.272325,7.5253654,9.048054,1
-5.188832,7.531561,8.943927,1
-5.1052012,7.5375586,8.83964,1
-5.018384,7.5478425,8.734299,1
-4.930523,7.5593085,8.628565,1
-4.842577,7.5705857,8.522744,1
-4.7545657,7.5816693,8.416863,1
-4.667974,7.5937495,8.311647,1
-4.581903,7.6060715,8.206684,1
-4.4958572,7.618214,8.101748,1
-4.4113717,7.629777,7.9988704,1
-4.3367333,7.644498,7.909756,1
-4.265082,7.6588883,7.824737,1
-4.2259655,7.648283,7.7654753,1
-4.1877537,7.635897,7.707456,1
-4.1494226,7.6234384,7.649775,1
-4.11087,7.611937,7.594697,1
-4.0717926,7.6040816,7.543202,1
-4.032626,7.596131,7.4915967,1
-3.9933794,7.5880857,7.4398932,1
-3.9540608,7.5799513,7.3881063,1
-3.9146833,7.5717273,7.336247,1
-3.8752534,7.5634136,7.2843285,1
-3.835816,7.55499,7.2323785,1
-3.7967188,7.546166,7.1805477,1
-3.757618,7.5372443,7.1287055,1
-3.718524,7.5282264,7.0768614,1
-3.6794474,7.5191174,7.0250297,1
-3.6403964,7.509918,6.9732256,1
-3.6013813,7.500628,6.92146,1
-3.562413,7.4912534,6.869745,1
-3.523499,7.4817934,6.818093,1
-3.4846492,7.472254,6.766517,1
-3.4458737,7.462633,6.715033,1
-3.4071836,7.4529366,6.66365,1
-3.3685856,7.443168,6.612382,1
-3.3300908,7.4333243,6.56124,1
-3.2917092,7.4234133,6.5102406,1
-3.254127,7.411165,6.4556723,1
-3.2170875,7.3974814,6.3990197,1
-3.1796608,7.3838673,6.341565,1
-3.1416748,7.3713465,6.2839556,1
-3.1012833,7.363011,6.225322,1
-3.061055,7.354641,6.1669345,1
-3.0209997,7.3462396,6.1088095,1
-2.9811263,7.3378067,6.050959,1
-2.9432104,7.328801,5.995111,1
-2.9065468,7.319694,5.9402595,1
-2.871382,7.31147,5.885303,1
-2.8363645,7.3032064,5.83067,1
-2.801494,7.2948976,5.776368,1
-2.7667785,7.2865443,5.722409,1
-2.7322283,7.2781496,5.668807,1
-2.6978505,7.2697144,5.615575,1
-2.6646554,7.2626705,5.5637045,1
-2.635419,7.2609606,5.515907,1
-2.6066358,7.259671,5.4682994,1
-2.5788927,7.2595854,5.4205174,1
-2.5518968,7.258945,5.3731127,1
-2.5246332,7.259423,5.328275,1
-2.498843,7.261588,5.2896094,1
-2.475471,7.2597346,5.257647,1
-2.4552457,7.2517476,5.2274456,1
-2.4352725,7.243844,5.1976557,1
-2.4154232,7.2358704,5.168191,1
-2.3957024,7.2278233,5.13906,1
-2.3780146,7.22346,5.1126394,1
-2.363533,7.2250896,5.090394,1
-2.3491893,7.226643,5.0684943,1
-2.3349848,7.2281175,5.046949,1
-2.3209252,7.229516,5.025761,1
-2.3070114,7.230834,5.004937,1
-2.2932491,7.2320776,4.984483,1
-2.279641,7.23324,4.964402,1
-2.2661893,7.234324,4.9446993,1
-2.252899,7.2353287,4.925381,1
-2.239772,7.2362533,4.90645,1
-2.226812,7.237099,4.8879123,1
-2.2140243,7.237865,4.8697724,1
-2.2014084,7.238551,4.8520346,1
-2.1889696,7.2391562,4.834703,1
-2.1781056,7.2401376,4.8209004,1
-2.1679845,7.241222,4.8087616,1
-2.158034,7.2422185,4.7970104,1
-2.1482568,7.2431307,4.7856464,1
-2.1386552,7.2439575,4.7746754,1
-2.1292331,7.2446985,4.7641006,1
-2.11999,7.2453513,4.753918,1
-2.1109302,7.245919,4.7441373,1
-2.103015,7.247131,4.7358303,1
-2.095114,7.249414,4.7291927,1
-2.0859804,7.251165,4.7220926,1
-2.076933,7.2527833,4.715323,1
-2.0679743,7.254267,4.708885,1
-2.0599353,7.256751,4.7035,1
-2.0520513,7.2591834,4.6985035,1
-2.044235,7.2614465,4.693819,1
-2.0364218,7.263442,4.689378,1
-2.0234513,7.257909,4.6798897,1
-2.0105479,7.252192,4.6707087,1
-1.9977155,7.2462945,4.6618404,1
-1.9849567,7.24022,4.6532845,1
-1.9683316,7.2261696,4.637014,1
-1.9499037,7.2082214,4.6172266,1
-1.9310396,7.191946,4.598418,1
-1.9123365,7.1764727,4.580489,1
-1.8943433,7.16167,4.56301,1
-1.8765234,7.1445746,4.543772,1
-1.8586595,7.1256623,4.523948,1
-1.8385755,7.105579,4.50438,1
-1.8164377,7.084304,4.4847813,1
-1.7894382,7.0575833,4.461608,1
-1.7523369,7.0061693,4.414836,1
-1.715415,6.9539056,4.3685427,1
-1.6772974,6.899556,4.322169,1
-1.6378199,6.8449574,4.2765374,1
-1.59857,6.7906055,4.2314425,1
-1.5612495,6.7347183,4.1874003,1
-1.5219924,6.6752625,4.142172,1
-1.4799696,6.6108136,4.095124,1
-1.4381994,6.5465646,4.048576,1
-1.3966923,6.482535,4.0025415,1
-1.3548919,6.4178815,3.9573834,1
-1.3136578,6.351652,3.9119437,1
-1.2727225,6.285713,3.867052,1
-1.2320973,6.2200804,3.8227174,1
-1.1917902,6.1547704,3.7789536,1
-1.1518128,6.089801,3.7357695,1
-1.112901,6.0253363,3.6936247,1
-1.0818279,5.962787,3.6567028,1
-1.0523274,5.9066257,3.6226363,1
-1.0234079,5.852229,3.5896666,1
-0.994763,5.79815,3.5572443,1
-0.97017884,5.7478447,3.5256314,1
-0.9479514,5.700039,3.4951165,1
-0.9289794,5.6557207,3.4659986,1
-0.9102357,5.6116986,3.437444,1
-0.89174056,5.568071,3.409486,1
-0.87512344,5.5326967,3.3844917,1
-0.8603256,5.4996066,3.361124,1
-0.8457949,5.466816,3.338346,1
-0.83153504,5.43433,3.3161638,1
-0.8176853,5.4021077,3.2945433,1
-0.80464876,5.3700027,3.2733781,1
-0.79187495,5.338236,3.25283,1
-0.77936643,5.3068137,3.2329032,1
-0.7680541,5.2765465,3.216351,1
-0.75924253,5.24836,3.20292,1
-0.7506728,5.2205176,3.19012,1
-0.7423478,5.193027,3.177955,1
-0.73426896,5.1658945,3.1664283,1
-0.7263294,5.1409225,3.158217,1
-0.718582,5.117282,3.152078,1
-0.7124187,5.094991,3.147944,1
-0.7095489,5.075019,3.148699,1
-0.70940256,5.0572486,3.1541927,1
-0.70957404,5.039955,3.16046,1
-0.71006316,5.023141,3.1674974,1
-0.7108702,5.006812,3.1753037,1
-0.7124104,4.9916086,3.1846063,1
-0.71460485,4.9777884,3.1968448,1
-0.71714073,4.964501,3.2098835,1
-0.7200177,4.951749,3.2237186,1
-0.72323465,4.939536,3.2383473,1
-0.7298891,4.9223294,3.2592087,1
-0.7373506,4.9048324,3.2816777,1
-0.74698055,4.8871937,3.3067977,1
-0.7576128,4.869821,3.333394,1
-0.76864487,4.8529253,3.3608549,1
-0.7800722,4.836511,3.3891745,1
-0.79217315,4.8203278,3.419665,1
-0.80583227,4.8049107,3.4526265,1
-0.81988686,4.7899857,3.4864397,1
-0.8343323,4.7755585,3.5210955,1
-0.8491652,4.761631,3.5565872,1
-0.86438227,4.7482076,3.592905,1
-0.8799799,4.7352915,3.6300397,1
-0.89597726,4.722895,3.6680014,1
-0.9135645,4.7114973,3.7077565,1
-0.93154114,4.6996727,3.7484093,1
-0.9476994,4.688012,3.7881336,1
-0.9642446,4.676852,3.828655,1
-0.98117274,4.666195,3.8699594,1
-0.99847925,4.6560426,3.9120386,1
-1.0161606,4.6463966,3.9548812,1
-1.0342116,4.637262,3.998478,1
-1.0526286,4.6286397,4.042817,1
-1.0714062,4.6205306,4.0878882,1
-1.0905408,4.6129394,4.133681,1
-1.1106836,4.6063623,4.180716,1
-1.131931,4.6008797,4.2290654,1
-1.15357,4.5959563,4.278142,1
-1.1755973,4.591595,4.3279347,1
-1.1980052,4.587794,4.378429,1
-1.2207894,4.5845566,4.429614,1
-1.2439439,4.5818834,4.481477,1
-1.2674634,4.579774,4.534004,1
-1.2964336,4.582746,4.58359,1
-1.3268244,4.590335,4.633625,1
-1.3577105,4.6008534,4.68543,1
-1.3888887,4.611939,4.7379074,1
-1.4203502,4.623589,4.7910447,1
-1.452087,4.6358004,4.8448286,1
-1.4840916,4.6485696,4.8992457,1
-1.5169005,4.660028,4.9512186,1
-1.5504906,4.6702266,5.0008225,1
-1.5843283,4.680958,5.0509963,1
-1.6184062,4.6922216,5.1017265,1
-1.6527154,4.7040133,5.153002,1
-1.6872475,4.7163315,5.204806,1
-1.7225791,4.728926,5.257,1
-1.7605065,4.7444024,5.311553,1
-1.7993299,4.761121,5.3671646,1
-1.838359,4.778343,5.4232483,1
-1.8785081,4.7949786,5.4801826,1
-1.9195645,4.811261,5.5378685,1
-1.9608239,4.828005,5.595998,1
-2.002276,4.845204,5.6545563,1
-2.0439088,4.862856,5.7135296,1
-2.0857136,4.880954,5.7729025,1
-2.130551,4.9062195,5.8346744,1
-2.175916,4.9328103,5.897084,1
-2.221352,4.9596715,5.9597993,1
-2.266846,4.9867926,6.0228057,1
-2.317269,5.015176,6.089099,1
-2.3874552,5.0312476,6.174056,1
-2.4615855,5.0453777,6.263321,1
-2.539174,5.0645585,6.3580346,1
-2.6202877,5.08694,6.4574275,1
-2.7015204,5.109558,6.5571084,1
-2.7835648,5.132892,6.657839,1
-2.8688045,5.158566,6.762246,1
-2.9541326,5.1844807,6.866902,1
-3.0395284,5.210628,6.971778,1
-3.1249702,5.237005,7.076849,1
-3.2104385,5.2636013,7.182088,1
-3.2959118,5.2904134,7.287472,1
-3.3813672,5.3174324,7.39297,1
-3.4667852,5.344656,7.498561,1
-3.5521452,5.372071,7.604216,1
-3.6374245,5.399675,7.709911,1
-3.7226038,5.427459,7.815619,1
-3.8076603,5.4554176,7.9213114,1
-3.8923998,5.483803,8.02687,1
-3.9716222,5.5157275,8.129197,1
-4.0478644,5.5404906,8.229277,1
-4.1238675,5.5652924,8.329213,1
-4.1996093,5.5901303,8.428979,1
-4.2750735,5.614996,8.528548,1
-4.3502398,5.6398845,8.627901,1
-4.4234657,5.663285,8.727379,1
-4.4956555,5.686867,8.826096,1
-4.56749,5.7104263,8.924538,1
-4.638951,5.733959,9.022679,1
-4.7100196,5.757457,9.120501,1
-4.7813983,5.7877426,9.219795,1
-4.8525305,5.8197026,9.319179,1
-4.9232273,5.8516917,9.418189,1
-4.9934745,5.88371,9.516801,1
-5.067088,5.92452,9.619859,1
-5.1466813,5.979307,9.727935,1
-5.22873,6.0374103,9.836918,1
-5.3103013,6.095632,9.945421,1
-5.392244,6.153167,10.052305,1
-5.4745393,6.210758,10.158332,1
-5.5571456,6.2687464,10.263859,1
-5.6398673,6.324963,10.369146,1
-5.727143,6.3677707,10.47649,1
-5.8137894,6.4106026,10.583178,1
-5.899786,6.4534516,10.689186,1
-5.9851136,6.4963045,10.794485,1
-6.06975,6.5391517,10.899049,1
-6.1536713,6.5819817,11.002854,1
-6.2368603,6.6247845,11.105877,1
-6.3192964,6.66755,11.208087,1
-6.400958,6.7102656,11.3094635,1
-6.481825,6.752925,11.409981,1
-6.5618777,6.7955117,11.509605,1
-6.6410975,6.8380203,11.608325,1
-6.7194614,6.8804398,11.706106,1
-6.796955,6.922756,11.802936,1
-6.873555,6.9649615,11.898779,1
-6.9465785,7.011369,11.993363,1
-7.018341,7.0581775,12.086887,1
-7.0891986,7.104781,12.179365,1
-7.159129,7.1511655,12.270766,1
-7.228113,7.197323,12.3610735,1
-7.2961373,7.2432384,12.450269,1
-7.3631873,7.288902,12.538322,1
-7.429241,7.3343024,12.6252165,1
-7.494284,7.3794317,12.710929,1
-7.5583043,7.42427,12.795437,1
-7.621278,7.4688177,12.878721,1
-7.683196,7.513055,12.960763,1
-7.741625,7.559029,13.043836,1
-7.801719,7.607424,13.125809,1
-7.8639297,7.658336,13.207413,1
-7.916554,7.695168,13.270796,1
-7.961688,7.7213364,13.320147,1
-8.005346,7.74637,13.368127,1
-8.046197,7.767291,13.414936,1
-8.085857,7.7877736,13.460299,1
-8.122502,7.803142,13.504044,1
-8.161049,7.8247905,13.548677,1
-8.198451,7.8461323,13.591877,1
-8.2346945,7.867163,13.6336355,1
-8.269772,7.8878813,13.673937,1
-8.303679,7.908277,13.712771,1
-8.33472,7.927327,13.747793,1
-8.35536,7.9404445,13.768483,1
-8.374816,7.9532347,13.787697,1
-8.386238,7.9615526,13.79914,1
-8.395388,7.9688854,13.808104,1
-8.403354,7.975885,13.815592,1
-8.410134,7.9825583,13.821608,1
-8.415725,7.9889,13.826146,1
-8.419612,7.994091,13.828469,1
-8.420185,7.9955754,13.826291,1
-8.419571,7.996731,13.822639,1
-8.417772,7.997554,13.8175125,1
-8.414787,7.9980507,13.810917,1
-8.410617,7.998215,13.80285,1
-8.405262,7.9980536,13.793317,1
-8.398725,7.997558,13.782315,1
-8.391007,7.996732,13.769851,1
-8.382108,7.995578,13.75593,1
-8.372033,7.9940944,13.740554,1
-8.360784,7.992281,13.723721,1
-8.348362,7.9901404,13.705442,1
-8.334775,7.9876695,13.685718,1
-8.320019,7.984871,13.664556,1
-8.309915,7.9835796,13.639701,1
-8.300021,7.9823904,13.612884,1
-8.289036,7.9808936,13.584621,1
-8.276958,7.979093,13.55492,1
-8.263795,7.976987,13.523787,1
-8.249376,7.9747534,13.491249,1
-8.230577,7.974216,13.457693,1
-8.208743,7.969614,13.423058,1
-8.18625,7.9643154,13.387094,1
-8.162722,7.958708,13.3497305,1
-8.138164,7.9527936,13.310981,1
-8.112582,7.9465747,13.270855,1
-8.085985,7.9400506,13.229358,1
-8.05843,7.933245,13.186508,1
-8.031286,7.926699,13.142434,1
-8.0031805,7.919866,13.097027,1
-7.974114,7.912749,13.050294,1
-7.944097,7.9053464,13.0022545,1
-7.913136,7.8976645,12.952913,1
-7.8812413,7.889704,12.902287,1
-7.8484154,7.881464,12.850382,1
-7.814669,7.8729496,12.79722,1
-7.7800107,7.864162,12.742806,1
-7.744452,7.855102,12.6871605,1
-7.7079954,7.845774,12.630292,1
-7.670655,7.836179,12.572216,1
-7.6324377,7.82632,12.512946,1
-7.593354,7.8161974,12.452496,1
-7.553413,7.805816,12.390885,1
-7.512624,7.7951803,12.328125,1
-7.4709983,7.784289,12.264237,1
-7.4285445,7.7731457,12.199224,1
-7.385652,7.7638397,12.132089,1
-7.341997,7.7545366,12.0637455,1
-7.2975416,7.7449474,11.994358,1
-7.2522926,7.735077,11.923937,1
-7.2062645,7.724923,11.852504,1
-7.159467,7.714493,11.780077,1
-7.1119103,7.7037845,11.706674,1
-7.0636077,7.692805,11.632309,1
-7.0145707,7.681552,11.557004,1
-6.9648137,7.6700354,11.48078,1
-6.914347,7.6582503,11.403646,1
-6.8631816,7.646205,11.325633,1
-6.8113317,7.6339006,11.246756,1
-6.758179,7.62296,11.16734,1
-6.7041264,7.612379,11.087214,1
-6.649439,7.6015263,11.006279,1
-6.5941257,7.5904026,10.924556,1
-6.5395107,7.580591,10.843493,1
-6.484784,7.571099,10.762212,1
-6.429495,7.561367,10.680223,1
-6.3730764,7.5529914,10.597051,1
-6.313747,7.5512657,10.511085,1
-6.254007,7.549229,10.42451,1
-6.1937394,7.5469885,10.337299,1
-6.1329584,7.54454,10.249476,1
-6.0716834,7.54189,10.16106,1
-6.009926,7.539036,10.072073,1
