Ia,Ib,Ic,Va,Vb,Vc,fault
-151.2918124,-9.677451563,85.80016226,0.400749853,-0.132934945,-0.267814907,1
-336.1861826,-76.28326195,18.32889658,0.312731934,-0.123633156,-0.189098779,1
-502.891583,-174.6480233,-80.92466346,0.265728444,-0.114300749,-0.151427695,1
-593.9419049,-217.7033594,-124.8919239,0.235510535,-0.104940254,-0.130570281,1
-643.6636173,-224.1594274,-132.2828154,0.20953688,-0.095553751,-0.113983129,1
-632.3127776,-181.714572,-90.79545335,0.193116164,-0.086143789,-0.106972375,1
-557.3918085,-119.4686428,-29.52944976,0.210003736,-0.076712453,-0.133291283,1
-458.799929,-96.31892202,-7.381846513,0.273651632,-0.067262311,-0.206389321,1
-385.6687288,-97.9898386,-10.07682386,0.334648677,-0.057795449,-0.276853228,1
-359.9293378,-87.31947781,-0.452215736,0.347420278,-0.048314452,-0.299105825,1
-370.6274975,-66.72024929,19.07982753,0.323889037,-0.038821408,-0.285067629,1
-418.5368051,-49.02235371,35.68936732,0.274573699,-0.029318913,-0.245254786,1
-501.663179,-55.26363629,28.33882818,0.21780926,-0.019809055,-0.198000205,1
-597.9307169,-96.59776613,-14.12518651,0.179217168,-0.01029444,-0.168922728,1
-668.7147405,-136.7722785,-55.44993205,0.160161944,-0.000777153,-0.159384792,1
-695.7762888,-141.5324757,-61.38042808,0.147640959,0.008740193,-0.156381152,1
-689.3620577,-118.6589244,-39.69695143,0.139481802,0.018255517,-0.157737319,1
-657.620238,-87.18732268,-9.434907575,0.143773048,0.0277662,-0.171539248,1
-608.7362399,-64.94907999,11.5745935,0.167517877,0.03727017,-0.204788047,1
-562.5856125,-60.91784627,14.35820396,0.201832401,0.046764805,-0.248597207,1
-83.7133742,42.10281172,38.01563142,0.416930483,-0.066439089,-0.350491394,2
-304.25865,243.5363745,42.67067962,0.097053189,0.089764942,-0.186818131,2
-487.1043244,377.3259561,29.57328173,-0.132447353,0.203226167,-0.070778814,2
-603.5430453,439.3996226,9.638568731,-0.248609301,0.263482559,-0.014873258,2
-620.7188487,423.2227901,0.613787281,-0.226917998,0.254650663,-0.027732665,2
-529.1084611,307.0602821,-0.853868048,-0.046974881,0.164405534,-0.117430653,2
-414.3392462,178.0727238,2.260703771,0.154209258,0.064146009,-0.218355266,2
-343.4870147,104.5627513,3.794285309,0.272042501,0.011317575,-0.283360076,2
-339.1254001,105.4293167,-0.267241225,0.27782054,0.021756839,-0.299577378,2
-412.1484692,189.3114477,-0.861179054,0.160608344,0.09297248,-0.253580824,2
-524.1822616,314.3291674,7.847025868,-0.014854652,0.186734166,-0.171879514,2
-616.1155255,411.9953709,15.81343996,-0.14884556,0.257482178,-0.108636618,2
-655.1951435,445.7798529,16.36527331,-0.189950024,0.283259516,-0.093309492,2
-631.3587005,406.6852832,11.34812444,-0.12665612,0.257281473,-0.130625353,2
-565.5854864,315.2628611,4.418953708,0.005887164,0.194139815,-0.200026979,2
-500.7124887,223.3563254,1.170838569,0.133308021,0.130256627,-0.263564647,2
-473.5841866,174.5566548,1.588778063,0.194150135,0.09903241,-0.293182545,2
-501.1661994,183.2739086,-0.253211561,0.16684023,0.114825982,-0.281666212,2
-574.1242184,239.2878357,-5.059180434,0.069065986,0.168907583,-0.237973569,2
-657.1989037,311.6457441,-8.143679822,-0.046230597,0.23275769,-0.186527092,2
